iter	Logloss
0	0.521580055
1	0.4233101698
2	0.3689064846
3	0.3374331154
4	0.3203070264
5	0.3061161988
6	0.2969827382
7	0.2902324339
8	0.2855803944
9	0.2829552222
10	0.2799126349
11	0.2781886992
12	0.2763969497
13	0.2749561717
14	0.2737724114
15	0.2727405669
16	0.2719433877
17	0.2713663095
18	0.2709209015
19	0.270399581
20	0.2700892226
21	0.2697242297
22	0.2694717264
23	0.269242296
24	0.268968348
25	0.2687513958
26	0.2685427453
27	0.2683693193
28	0.2682508403
29	0.2681430429
30	0.2678103645
31	0.2676884377
32	0.2676126663
33	0.2675113463
34	0.2674703428
35	0.2674023359
36	0.2672026903
37	0.2671199724
38	0.2670621641
39	0.2669982574
40	0.266945185
41	0.2668460834
42	0.2667818839
43	0.266720908
44	0.2666875636
45	0.2666447682
46	0.2666097678
47	0.266554835
48	0.266528667
49	0.2664732419
50	0.2663327435
51	0.2663049267
52	0.2662704875
53	0.2662258422
54	0.2662006722
55	0.2660866334
56	0.2660576216
57	0.2660357307
58	0.2660114459
59	0.2659810778
60	0.2659605034
61	0.265939897
62	0.2659149145
63	0.265864412
64	0.2658368885
65	0.2657842371
66	0.265765614
67	0.2657301007
68	0.2656413145
69	0.2656100597
70	0.2655811132
71	0.2655551746
72	0.2655354126
73	0.2655061256
74	0.2654380961
75	0.2653982413
76	0.2653718807
77	0.2653398149
78	0.265320937
79	0.265297513
80	0.2652708527
81	0.2652389597
82	0.2652191019
83	0.2651936358
84	0.2651689733
85	0.2651443851
86	0.2651259946
87	0.2651034618
88	0.2650546614
89	0.2650412632
90	0.2650213983
91	0.2649927752
92	0.26497333
93	0.2649543099
94	0.2649337969
95	0.2649082565
96	0.2648914373
97	0.2648773453
98	0.2648526713
99	0.2648185183
100	0.264799983
101	0.2647820763
102	0.2647641048
103	0.2647458946
104	0.2647292407
105	0.2647043774
106	0.2646896332
107	0.2646608493
108	0.2646499046
109	0.2646228207
110	0.264591518
111	0.2645671705
112	0.2645475538
113	0.2645307807
114	0.2645101235
115	0.2644862605
116	0.2644575216
117	0.2644395065
118	0.2643967292
119	0.2643714913
120	0.2643490807
121	0.264342505
122	0.2642843968
123	0.2642776532
124	0.2642547204
125	0.2642315244
126	0.2642154325
127	0.2641652354
128	0.2641411474
129	0.2641079779
130	0.2640814048
131	0.2640642708
132	0.2640469685
133	0.2640177312
134	0.2639962107
135	0.2639703428
136	0.2639316833
137	0.2639166242
138	0.2638920045
139	0.2638751406
140	0.2638465666
141	0.2638260317
142	0.2637977476
143	0.2637814378
144	0.2637457204
145	0.2637203436
146	0.2636966214
147	0.2636615424
148	0.2636435381
149	0.263624109
150	0.2636008733
151	0.263582973
152	0.2635604731
153	0.2635427634
154	0.2635287329
155	0.263497831
156	0.2634768244
157	0.263453358
158	0.2634352888
159	0.2634159966
160	0.2633937216
161	0.26337282
162	0.26335541
163	0.263330232
164	0.2632928063
165	0.2632656819
166	0.2632439571
167	0.2632241806
168	0.263205665
169	0.263190576
170	0.2631744771
171	0.2631562127
172	0.2631412995
173	0.2631167027
174	0.2630959885
175	0.2630789802
176	0.2630691229
177	0.2630524622
178	0.2630319695
179	0.2630144997
180	0.2629701907
181	0.2629570315
182	0.2629406257
183	0.2629306631
184	0.2629111337
185	0.2628901932
186	0.2628646781
187	0.2628507631
188	0.2628245514
189	0.2628063176
190	0.262790005
191	0.2627652494
192	0.2627396134
193	0.2627189578
194	0.2626928212
195	0.2626782051
196	0.2626550496
197	0.262616482
198	0.2625963411
199	0.262577057
200	0.262555278
201	0.2625341632
202	0.2625166106
203	0.2624979273
204	0.2624683284
205	0.2624444511
206	0.2624295482
207	0.2624119023
208	0.2623973283
209	0.2623777524
210	0.2623581269
211	0.2623389095
212	0.2623269345
213	0.2623139189
214	0.2622927596
215	0.2622799052
216	0.2622555776
217	0.2622261481
218	0.2622074605
219	0.2621865504
220	0.2621727186
221	0.2621467951
222	0.2621351155
223	0.262118616
224	0.2620939251
225	0.2620756749
226	0.2620624804
227	0.2620356822
228	0.2620092344
229	0.2619959915
230	0.26197109
231	0.2619487139
232	0.2619338781
233	0.2619199264
234	0.2619011327
235	0.2618843511
236	0.2618628129
237	0.2618380676
238	0.2618186572
239	0.261808203
240	0.261793938
241	0.2617766545
242	0.2617547086
243	0.2617364512
244	0.261718596
245	0.261696685
246	0.261671735
247	0.2616484323
248	0.2616330989
249	0.2616186267
250	0.2616024402
251	0.2615896831
252	0.2615642064
253	0.2615412789
254	0.2615202881
255	0.2615015361
256	0.2614842144
257	0.2614725146
258	0.2614536548
259	0.2614338513
260	0.2614159485
261	0.2613957184
262	0.2613709355
263	0.2613579426
264	0.2613436962
265	0.2613333892
266	0.2613108207
267	0.2612959277
268	0.2612818865
269	0.2612690938
270	0.2612454025
271	0.2612274547
272	0.2612149954
273	0.2612031577
274	0.2611774621
275	0.2611592088
276	0.2611421542
277	0.2611269146
278	0.2611130004
279	0.2610925554
280	0.2610727859
281	0.2610613545
282	0.2610444918
283	0.2610259073
284	0.2610088958
285	0.2609941626
286	0.2609841992
287	0.2609677423
288	0.2609533895
289	0.2609389426
290	0.2609299747
291	0.2609185986
292	0.2609042746
293	0.2608926044
294	0.2608742664
295	0.2608622556
296	0.2608424147
297	0.2608254309
298	0.2608143495
299	0.2608022375
300	0.2607765347
301	0.2607543818
302	0.2607447112
303	0.2607373613
304	0.2607183461
305	0.2606988072
306	0.2606824396
307	0.2606651193
308	0.2606561757
309	0.2606463446
310	0.2606352281
311	0.2606251563
312	0.2606061086
313	0.2605844276
314	0.2605735575
