iter	Passed	Remaining
0	133	133618
1	293	146361
2	421	139967
3	538	133974
4	638	127122
5	741	122888
6	791	112334
7	871	108078
8	937	103276
9	992	98239
10	1094	98402
11	1176	96891
12	1283	97410
13	1408	99194
14	1537	100941
15	1659	102066
16	1775	102690
17	1869	101991
18	1963	101394
19	2063	101117
20	2166	101003
21	2243	99747
22	2318	98468
23	2402	97691
24	2485	96941
25	2665	99866
26	2816	101485
27	2951	102459
28	3083	103232
29	3163	102287
30	3203	100136
31	3264	98757
32	3316	97182
33	3397	96523
34	3457	95319
35	3507	93925
36	3558	92604
37	3625	91783
38	3684	90784
39	3740	89776
40	3796	88789
41	3848	87785
42	3930	87467
43	4030	87574
44	4103	87076
45	4146	85984
46	4205	85277
47	4270	84702
48	4335	84148
49	4385	83326
50	4474	83261
51	4549	82933
52	4599	82178
53	4643	81352
54	4695	80677
55	4741	79930
56	4796	79360
57	4847	78729
58	4897	78111
59	4943	77451
60	4999	76956
61	5082	76892
62	5171	76917
63	5282	77263
64	5366	77201
65	5432	76874
66	5498	76570
67	5555	76142
68	5621	75855
69	5665	75274
70	5707	74683
71	5757	74202
72	5820	73911
73	5868	73440
74	5926	73087
75	5966	72542
76	6011	72064
77	6059	71628
78	6113	71277
79	6176	71033
80	6226	70639
81	6270	70200
82	6322	69850
83	6413	69940
84	6548	70497
85	6621	70376
86	6669	69991
87	6747	69931
88	6828	69898
89	6890	69670
90	6938	69310
91	7011	69199
92	7077	69024
93	7136	68784
94	7191	68509
95	7243	68212
96	7311	68068
97	7369	67830
98	7419	67526
99	7466	67196
100	7530	67027
101	7613	67027
102	7667	66778
103	7724	66545
104	7780	66320
105	7860	66291
106	7926	66156
107	7975	65875
108	8033	65667
109	8080	65380
110	8136	65164
111	8188	64920
112	8243	64704
113	8308	64570
114	8349	64258
115	8417	64149
116	8476	63975
117	8523	63711
118	8567	63430
119	8618	63202
120	8672	62998
121	8765	63085
122	8833	62987
123	8892	62819
124	8942	62599
125	9000	62434
126	9067	62332
127	9122	62144
128	9185	62022
129	9279	62098
130	9329	61886
131	9384	61711
132	9432	61490
133	9498	61384
134	9545	61161
135	9596	60966
136	9644	60751
137	9690	60529
138	9749	60391
139	9816	60302
140	9862	60083
141	9913	59898
142	9963	59713
143	10014	59531
144	10084	59461
145	10179	59540
146	10250	59482
147	10340	59528
148	10411	59461
149	10458	59267
150	10509	59090
151	10568	58961
152	10652	58974
153	10699	58779
154	10747	58593
155	10803	58449
156	10907	58567
157	10982	58525
158	11045	58424
159	11105	58302
160	11171	58219
161	11226	58070
